# 画廊图片文案（每行一条：文件名=标题|说明）
# 文件名可以带扩展名也可以不带；没有配文案的图片会用文件名当标题。
# 行首加 # 是注释，不会被读取。
#
# 示例：
# 文化祭合照=文化祭当日|四个人第一次并肩站在同一个镜头里
# 01=初遇|总武高特别栋，午后的红茶没有加糖
# ---- 新开场白预置（2026-07-25）----
四人同框=四人同框|蓝天与海之间，四个人并肩而立
四小只=四小只|刺猬、黑猫、粉毛狗与小火龙
自拍合照=第一张自拍|结衣举起了手机，把所有人都框了进去
刺猬八幡=小刺猬|MAX 咖啡是底线
黑猫雪乃=小黑猫|红丝带与独处时间
小狗结衣=小粉狗|亲近是想传达的心意
小龙泡泡=小火龙|红茶要趁热喝
# ---- 2026-08-06 新增批次（13张：幕间9张 + 结衣主场4张）----
场景10=雨后彩虹与踩水洼|四人雨后的性格群像
场景25=被叫去整理旧档案|达洛维旧信的三条线索
场景61=平安夜的已读|第三幕→第四幕·幕间
场景75=礼物与愿望的双向暴露场|结衣×拉芙互相拆解
场景77=情人节·站前|第四幕→第五幕·幕间
场景92=寄出的信|第五幕→第六幕·幕间
场景98=五件物品·接机前夜|第六幕→第七幕·幕间
场景119=空白的一页|第七幕→第八幕·幕间
场景126=生日快乐·六个字|第八幕→第九幕·幕间
场景133=炉火·钥匙|第九幕→第十幕·幕间
场景139=不让任何人被漏掉|毕业相册委托启动
场景140=升学方向确立|结衣与母亲
场景145=我想要他选我|结衣首次说出真心话
